"ID","post_title","coords"
46111,"Switch","51.0063345,3.6271591"
44633,"CC Temse","51.126564,4.2206647"
44633,"CC Temse","51.1242488,4.2139116"
44633,"CC Temse","51.1131212,4.1382598"
44633,"CC Temse","51.1242623,4.2108303"
43592,"Ruines du Château Fort de Logne","50.40029,5.60564"
43592,"Ruines du Château Fort de Logne","50.3940196,5.5352211"
46485,"Natuurpark Raversyde","51.1980121,2.849707"
46490,"Raversijde ANNO 1465","51.1980121,2.849707"
44988,"Bibliotheek Bocholt","51.1743658,5.581208"
44988,"Bibliotheek Bocholt","51.17291,5.57899"
45557,"Lucas Creativ","51.123737,4.3737715"
45557,"Lucas Creativ","51.2077722,4.4024825"
45557,"Lucas Creativ","51.0510739,3.7192546"
45557,"Lucas Creativ","50.8364536,4.0169613"
45557,"Lucas Creativ","51.0378065,4.4732635"
45557,"Lucas Creativ","51.1407175,5.0849565"
45557,"Lucas Creativ","50.9631146,3.1206341"
45557,"Lucas Creativ","50.8139991,5.1633258"
45557,"Lucas Creativ","51.2686952,4.4641078"
45557,"Lucas Creativ","51.134615,4.196708"
45557,"Lucas Creativ","50.8967183,4.6115018"
45557,"Lucas Creativ","50.9740056,5.3627256"
45557,"Lucas Creativ","51.3237699,4.950597"
45557,"Lucas Creativ","50.8321723,5.6454697"
48774,"S.M.A.K.","51.0372527,3.7235149"
45600,"Hobby-, school- en kantoorbenodigdheden Pandava","51.2524457,4.5011335"
45600,"Hobby-, school- en kantoorbenodigdheden Pandava","51.3121882,4.3979555"
50183,"LA Gym Premium Fitness","51.2132924,4.3930358"
48761,"Fort Liefkenshoek","51.2946873,4.2833843"
48772,"Tuinmachines VKT","51.4001345,4.6339371"
50185,"Kasteel van Beersel","50.7667986,4.3037903"
50277,"mu-zee-um vzw","51.2257209,2.9146989"
44745,"Computer en ICT Netdistri","51.2724919,3.2252003"
54657,"Nationaal Orkest van België","50.8442226,4.3595052"
55040,"Havesdonckhoevemuseum","51.1138069,4.2891837"
55111,"Fietshandel Breuls","50.969278,5.6619185"
